===== LOADED MODULES =====
Module                  Size  Used by
snd                   151552  21 snd_seq,snd_seq_device,snd_soc_qcom_common,snd_soc_hdmi_codec,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
pci_pwrctrl_core       12288  1 pci_pwrctrl_pwrseq
soundcore              16384  1 snd
qcom_cpufreq_hw        28672  2
qcom_rng               16384  0
leds_gpio              12288  0
joydev                 36864  0
input_leds             12288  0
sch_fq_codel           24576  1
nvme_fabrics           36864  0
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_tables,ip_set
dmi_sysfs              24576  0
ip_tables              36864  0
x_tables               69632  7 xt_conntrack,nft_compat,xt_addrtype,xt_recent,xt_set,ip_tables,xt_MASQUERADE
autofs4                61440  2
btrfs                2031616  0
blake2b_generic        20480  0
xor                    12288  1 btrfs
xor_neon               16384  1 xor
raid6_pq              106496  1 btrfs
dm_crypt               69632  1
uas                    32768  0
usb_storage            90112  1 uas
leds_qcom_lpg          32768  1
mhi_pci_generic        40960  0
led_class_multicolor    16384  1 leds_qcom_lpg
hid_multitouch         36864  0
mhi                   139264  5 mhi_wwan_mbim,mhi_wwan_ctrl,mhi_pci_generic,ath11k_pci,qrtr_mhi
hid_generic            12288  0
xhci_plat_hcd          24576  0
qcom_pbs               16384  1 leds_qcom_lpg
apr                    20480  2 snd_q6apm,q6prm
nvme                   65536  3
qrtr_smd               16384  0
qcom_pd_mapper         28672  0
qcom_pon               12288  0
rpmsg_ctrl             12288  0
reboot_mode            12288  1 qcom_pon
panel_edp              40960  0
rtc_pm8xxx             24576  1
rpmsg_char             24576  1 rpmsg_ctrl
pinctrl_spmi_gpio      36864  16
nvme_core             241664  5 nvme,nvme_fabrics
i2c_hid_of_elan        12288  0
qcom_pm8008_regulator    12288  3
nvme_keyring           20480  2 nvme_core,nvme_fabrics
i2c_hid_of             12288  0
nvme_auth              28672  1 nvme_core
qcom_spmi_pmic         20480  0
i2c_hid                45056  2 i2c_hid_of_elan,i2c_hid_of
regmap_spmi            12288  1 qcom_spmi_pmic
msm                  1941504  200
qcom_pm8008            12288  0
hid                   286720  3 i2c_hid,hid_multitouch,hid_generic
dwc3                  188416  0
ulpi                   20480  1 dwc3
ubwc_config            20480  1 msm
udc_core               90112  1 dwc3
pmic_glink_altmode     20480  0
ocmem                  24576  1 msm
aux_hpd_bridge         16384  1 pmic_glink_altmode
drm_gpuvm              45056  1 msm
ucsi_glink             20480  0
qcom_battmgr           20480  0
drm_exec               16384  2 msm,drm_gpuvm
spmi_pmic_arb          40960  0
typec_ucsi             69632  1 ucsi_glink
gpu_sched              69632  1 msm
qcom_q6v5_pas          36864  0
spmi_devres            12288  1 spmi_pmic_arb
drm_dp_aux_bus         16384  2 msm,panel_edp
socinfo                28672  0
qcom_pil_info          16384  1 qcom_q6v5_pas
qcom_stats             16384  0
spmi                   45056  3 regmap_spmi,qcom_spmi_pmic,spmi_devres
drm_display_helper    327680  2 msm,panel_edp
dispcc_sc8280xp        69632  27
qcom_common            20480  1 qcom_q6v5_pas
phy_qcom_edp           45056  1
camcc_sc8280xp         69632  69
cec                    94208  1 drm_display_helper
rc_core                73728  1 cec
i2c_qcom_cci           28672  0
qcom_glink_smem        12288  1 qcom_common
qcom_glink             94208  2 qcom_glink_smem,qcom_common
i2c_qcom_geni          32768  0
videocc_sm8350         24576  3
pinctrl_sc8280xp_lpass_lpi    16384  0
qcom_q6v5              16384  1 qcom_q6v5_pas
phy_qcom_qmp_combo    126976  12
llcc_qcom              53248  1 msm
dwc3_qcom_legacy       24576  0
icc_bwmon              28672  0
aux_bridge             12288  1 phy_qcom_qmp_combo
gpucc_sc8280xp         20480  10
phy_qcom_snps_femto_v2    20480  10
nvmem_qfprom           20480  0
pinctrl_lpass_lpi      20480  13 pinctrl_sc8280xp_lpass_lpi
lpasscc_sc8280xp       12288  3
qrtr                   49152  24 qrtr_smd,qrtr_mhi
phy_qcom_qmp_usb       77824  4
qcom_sysmon            24576  2 qcom_q6v5_pas,qcom_q6v5
qcom_rpmh_regulator    53248  92
polyval_ce             12288  0
qcom_hwspinlock        12288  1
mdt_loader             12288  3 msm,qcom_q6v5_pas,venus_core
phy_qcom_qmp_pcie     151552  3
ghash_ce               20480  0
pmic_glink             16384  3 pmic_glink_altmode,qcom_battmgr,ucsi_glink
gpio_sbu_mux           12288  8
qcom_aoss              32768  3 qcom_stats,msm,qcom_q6v5
pdr_interface          24576  2 apr,pmic_glink
qcom_smd               32768  1 qcom_common
qcom_pdr_msg           16384  2 qcom_pd_mapper,pdr_interface
icc_osm_l3             16384  0
typec                 118784  5 pmic_glink_altmode,gpio_sbu_mux,phy_qcom_qmp_combo,typec_ucsi,ucsi_glink
pwrseq_qcom_wcn        16384  2
qmi_helpers            28672  5 qcom_pd_mapper,ath11k,qcom_sysmon,qcom_pdr_msg,pdr_interface
thunderbolt           520192  1 typec
sm4                    12288  0
pwrseq_core            24576  3 hci_uart,pwrseq_qcom_wcn,pci_pwrctrl_pwrseq
gpio_keys              24576  0
rpmsg_core             24576  9 rpmsg_char,rpmsg_ctrl,qcom_sysmon,qcom_glink,fastrpc,qrtr_smd,apr,qcom_smd,pmic_glink
pwm_bl                 20480  0
smp2p                  36864  0
fixed                  16384  10
smem                   28672  9 smp2p,qcom_stats,qcom_glink_smem,qcom_common,socinfo,qcom_q6v5_pas,qcom_q6v5,qcom_smd,venus_core
uio_pdrv_genirq        16384  0
uio                    32768  1 uio_pdrv_genirq
aes_neon_bs            24576  0
aes_neon_blk           24576  1 aes_neon_bs
aes_ce_blk             32768  7 aes_ce_ccm
aes_ce_cipher          12288  2 aes_ce_ccm,aes_ce_blk
